id,income-january,orders-january,clients-january,income-february,orders-february,clients-february,income-march,orders-march,clients-march,income-april,orders-april,clients-april,income-may,orders-may,clients-may,income-june,orders-june,clients-june,income-july,orders-july,clients-july,income-august,orders-august,clients-august,income-september,orders-september,clients-september,income-october,orders-october,clients-october,income-november,orders-november,clients-november,income-december,orders-december,clients-december
841,18488.03838,670,27,20089.52996,698,28,20111.11405,693,28,25287.08319,905,29,24525.21997,869,27,29558.86347,973,30,28028.99749,996,29,36209.25134,1025,30,32250.29041,778,28,22320.15002,596,27,34779.82904,932,30,34077.40966,828,30
842,18272.31981,710,28,17471.30009,728,29,18207.04569,663,26,22586.455,816,29,19828.50912,825,30,19695.97446,788,28,25093.74925,952,29,24617.41629,898,29,24260.04071,852,30,22038.84964,682,28,22618.0984,821,30,28834.04432,973,31
843,14422.1629,560,24,16300.22339,681,27,14103.36292,607,26,18360.72842,684,25,17912.47454,779,28,21393.11923,841,30,20058.1816,793,30,24763.42763,893,30,19249.81852,785,29,16619.75082,628,25,21951.77847,876,28,20355.84166,815,30
844,12700.32805,534,27,12863.22492,493,28,15576.61794,543,29,15338.95673,583,25,16548.49709,658,28,16223.83511,621,29,18479.72913,724,28,20592.1839,753,31,18701.9539,699,28,15431.14671,541,27,19229.51365,771,29,22060.22117,849,33
845,20475.15805,800,32,25850.28889,937,37,21742.7533,806,36,28573.93225,1049,39,24011.50093,975,36,34260.95646,1096,39,24084.49456,1000,36,36946.28945,1080,38,28061.2993,971,36,24795.75479,853,37,27313.5304,1016,38,29832.35388,1069,39
846,14392.55917,478,29,16536.26598,624,31,14804.45149,531,31,16328.66436,633,31,16833.27127,685,32,19290.68948,621,30,16831.19456,634,29,22065.52889,688,30,23405.84397,735,31,16168.45001,490,28,16815.32843,599,28,21740.99417,769,33
847,27810.91502,655,27,15269.72105,515,25,22660.06941,556,26,23712.16201,666,28,23745.29709,771,30,30471.09166,886,31,34742.58376,858,32,30968.84815,797,30,30747.68739,801,32,31531.54412,712,29,35663.78303,993,31,31109.22019,802,35
848,38232.47679,841,32,53117.87031,1033,35,46389.90607,1032,35,49357.56453,1145,35,42133.37213,1207,35,43125.30033,1128,36,53903.53398,1242,36,51995.53543,1228,36,38605.36826,1064,37,30968.90745,794,37,41059.05002,1042,36,54409.23458,1208,34
849,48128.24774,944,30,42122.71164,988,30,41365.18922,892,28,43809.34036,999,30,63530.25391,1267,31,40877.83289,1020,31,38638.79427,1101,28,60383.47407,1314,30,56786.61962,1122,29,43128.43617,907,28,53256.81964,1299,32,56750.23719,1195,34
850,13514.52052,533,29,17665.85772,718,31,17192.43036,682,30,22091.8357,799,30,22217.53319,879,31,20784.85529,807,32,22439.36841,873,31,27554.83105,1007,32,26805.53951,957,32,14926.78551,549,29,19892.27903,745,34,26064.81693,881,34
851,14932.78365,618,26,13906.60655,532,25,17915.12701,724,26,16852.6111,621,28,24052.87967,748,27,19741.06504,657,28,19171.88309,752,28,27625.00233,834,28,22942.89497,829,29,13188.41373,486,23,18177.01607,648,26,23195.79688,785,28
852,19067.96751,637,32,27494.91937,803,35,28269.87228,786,33,33041.03461,908,35,30053.94832,925,37,28009.41237,835,34,34712.92624,979,39,38215.77697,1020,38,37897.45805,1062,41,29510.19831,704,32,30694.49546,877,37,30856.47467,890,39
