id,income,clients
1,21610.64352,319
2,24343.08476,339
3,17799.03619,334
4,24604.38984,361
5,60171.67579,379
6,46606.98181,545
7,30021.32874,445
8,19190.05366,381
9,126821.6905,327
10,44256.30124,496
11,45150.09789,280
12,23861.56939,321
13,27905.95118,379
14,26299.43057,355
15,27696.0347,372
16,24621.99197,335
17,19096.70189,311
18,32556.77664,477
19,31973.1634,375
20,22357.1218,353
21,17331.01561,307
22,31767.39013,401
23,44540.00419,331
24,27977.65791,444
25,18542.09916,393
26,27915.37275,356
27,20984.67067,372
28,24925.89946,437
29,22098.09675,364
30,63393.49655,327
31,27319.95859,406
32,24766.12413,378
33,37766.18949,311
34,29891.49911,389
35,20215.40867,362
36,21032.24963,334
37,26542.51179,380
38,26809.87148,458
39,17506.53895,335
40,23060.30179,370
41,26580.72113,412
42,33747.93748,410
43,22283.8592,303
44,20417.1278,380
45,24032.25549,280
46,30970.03565,476
47,32999.47488,287
48,36486.73742,399
49,19558.18161,300
50,30601.87055,387
51,30877.3989,369
52,27998.29662,466
53,17772.47205,329
54,21404.68888,439
55,26073.72297,429
56,24251.34207,352
57,26218.82292,387
58,23274.19729,377
59,18960.17404,365
60,20897.85047,367
61,58040.58164,350
62,31787.52906,345
63,36405.56683,356
64,29687.2641,333
65,63216.77202,315
66,100284.8762,429
67,21369.4956,349
68,16627.14859,246
69,19355.25023,290
70,26083.46635,339
71,31128.5485,372
72,34367.61014,404
73,14866.37365,240
74,31258.00999,388
75,13867.55195,254
76,36987.61311,490
77,24504.68992,282
78,34385.77403,382
79,20484.60757,426
80,34011.74062,310
81,30210.03685,406
82,34602.94602,393
83,15234.17979,285
84,85019.50463,395
85,21226.77947,304
86,19519.52401,332
87,27634.86616,370
88,16205.78292,270
89,21411.35466,304
90,14891.06472,236
91,66499.34258,376
92,52247.23924,423
93,26869.81901,404
94,21919.31139,344
95,27845.48703,348
96,17177.28523,285
97,21214.62739,316
98,36146.56634,451
99,167203.0627,339
100,30963.79838,362
101,17619.09153,265
102,15348.74152,269
103,30242.83591,425
104,29779.66525,366
105,19764.24732,315
106,28254.97312,453
107,16392.91021,258
108,17401.10635,305
109,37894.38349,397
110,28304.09414,423
111,57001.41529,294
112,18017.68835,353
113,102457.0453,414
114,24865.4386,333
115,20077.92228,343
116,24588.42126,265
117,17167.40611,311
118,18698.38043,280
119,47868.25536,382
120,24181.61778,303
121,79369.14514,547
122,21903.74152,365
123,19178.52882,294
124,22136.75804,374
125,26913.48452,364
126,22662.78831,307
127,26306.46596,313
128,12869.31082,260
129,20257.67369,379
130,19525.6204,275
131,26712.07965,391
132,21138.38206,345
133,18535.38346,288
134,14824.62525,213
135,22137.34773,386
136,18065.68217,315
137,18943.9911,268
138,33053.53421,366
139,26610.24235,500
140,28138.55405,452
141,29629.18963,366
142,25017.51104,406
143,16205.00802,320
144,20318.66783,305
145,36840.55786,456
146,16195.86317,228
147,37444.59175,485
148,21737.4369,349
149,37007.75811,398
150,35090.72614,369
151,24126.03249,386
152,32606.05129,312
153,45533.67159,479
154,25343.80232,388
155,33693.06747,418
156,74221.82682,429
157,26789.72524,377
158,20683.50278,375
159,24395.16142,312
160,21723.83191,358
161,20240.79026,309
162,17599.94006,302
163,28148.16526,387
164,21175.49489,344
165,20301.92401,266
166,34804.05921,465
167,24367.27742,365
168,19973.48724,332
169,18298.96262,321
