id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
1,2.115384615,812.1404114,1.519230769,757.3399351,2.692307692,1363.413518,1.826923077,734.5588784,0.961538462,418.4802924,2.153846154,874.2083815,0.173076923,26.93016403
2,1.461538462,564.3430581,3.423076923,1505.522071,1.480769231,992.9344608,1.134615385,398.5856184,3.076923077,1106.912208,1.961538462,1027.082464,0.134615385,22.25506391
3,2.365384615,794.9309434,1.423076923,773.3679368,1.980769231,686.9204972,2.519230769,834.3535943,1.384615385,446.7471326,1.75,539.5998305,0.230769231,31.54995545
4,2.403846154,894.0943326,2.134615385,1225.894495,2.307692308,809.9376528,2.557692308,1174.850043,1.769230769,675.7988883,1.903846154,871.257582,0.211538462,26.10312378
5,1.596153846,630.390394,2.423076923,6586.45329,2.807692308,2125.611436,2.192307692,1250.942004,2.423076923,2089.336488,2.423076923,1182.204726,0.134615385,20.83299796
6,4.134615385,2437.865271,2.519230769,1189.699803,4,1728.512279,4.096153846,2150.517361,2.711538462,1249.911769,3.634615385,1948.887794,0.288461538,50.06306389
7,2.769230769,878.4355953,3.25,1636.447491,2.653846154,945.9970819,2.711538462,921.2478864,3.057692308,1467.168532,2.173076923,1049.524026,0.211538462,29.17832778
8,3.5,1258.332261,1.865384615,735.5031189,1.211538462,338.1085267,3.269230769,999.8639118,2.230769231,763.9819917,1.269230769,283.7702194,0.269230769,48.91389193
9,1.769230769,1383.420857,2.538461538,1977.856458,1.807692308,8277.96609,1.673076923,5154.361179,2.423076923,6153.557829,1.596153846,6142.235302,0.173076923,177.1462381
10,2.019230769,2021.185205,3.519230769,1467.12825,2.942307692,1496.073046,1.961538462,1012.949,3.288461538,1867.186086,3.365384615,2269.825145,0.173076923,78.64586268
11,1.673076923,634.6581834,2.230769231,3772.819024,1.5,1852.543398,1.942307692,1462.246118,2.25,1442.770452,1.326923077,1241.620567,0.076923077,12.59561645
12,1.865384615,854.3298127,2.057692308,991.0818167,2.173076923,1242.57594,1.826923077,854.2473039,1.596153846,674.6217799,1.942307692,864.121779,0.153846154,25.53758031
13,1.25,502.507183,2.288461538,1254.229132,3.019230769,1632.074405,1.865384615,663.8225248,2.288461538,882.3309381,2.980769231,1490.047003,0.115384615,14.82370211
14,1.903846154,886.2132655,2.326923077,852.1850599,2.423076923,1532.633641,1.903846154,795.1119746,2.307692308,1101.092968,1.961538462,849.6828273,0.173076923,52.17962603
