id,income,clients
679,443161186.2,2898
680,457103249.3,3334
681,417449191.5,2061
682,116049987.1,825
683,39438904.89,423
684,38821333.99,179
685,92982061.13,131
686,154438209,811
687,174162788.2,1226
688,308927912.1,2083
689,83330553.7,837
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,10003415.67,104
700,341533758.2,2801
701,587441851.4,3903
702,343775560.3,2302
703,286617129.9,1953
704,176839805.2,1300
705,48041864.69,388
706,10058438.95,43
707,168753490.2,1172
708,161691592.8,1074
709,164163563.5,922
710,122218983.4,923
711,54811175.67,338
712,32659050.39,356
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,52046853.38,274
724,188422643.6,1037
725,224359773.7,1176
726,383423951.6,2395
727,208834131.4,1496
728,111726444.8,762
729,0,0
730,298741472.2,204
731,119083641.4,834
732,79122003.48,582
733,172827814.4,1091
734,168955992,1097
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,97672482.34,313
755,126054143.2,391
756,178043863,1320
757,594125448.4,3135
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,29175550.4,254
779,0,0
780,2262663.171,39
781,0,0
782,0,0
