id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
543,16,3766478.89,83,5930121.468,139,30543599.53,38,6925125.858,56,10493176.44,147,36973846.63,47,224466.8073
544,46,6766444.505,16,23683234.79,43,10305533.98,47,8293612.64,12,25445395.08,42,5163366.048,17,96267.03815
545,21,2560811.398,7,1678759.595,9,62757.0294,20,3910112.065,18,1300005.174,0,0,6,21780.12061
546,62,12338204.95,41,29272973.18,22,3047110.968,62,12586432.99,48,19400365.44,17,509711.169,16,181007.3666
547,5,11883120.13,29,1814861.405,33,15223813.27,5,1632616.793,8,1621317.105,33,1943964.983,13,63622.5193
548,4,736081.6475,14,19921177.9,38,8591778.483,1,363185.8913,4,11114225.28,34,1846867.97,11,46194.2384
549,0,0,1,13222,6,2089836.955,0,0,0,0,4,1648337.418,2,30708.86515
550,0,0,1,5775.986978,2,379621.909,0,0,0,0,2,471279.5843,1,5003
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,15,74784.7271,13,99251.62048,35,9343948.545,0,0,6,44302.70995,35,7555650.07,20,156850.2449
558,9,40692.79013,16,1138945.153,15,2552769.368,1,3503.969255,14,1436424.252,15,2540930.105,5,20138.56365
559,31,1074564.432,61,19099853.69,21,704875.9683,34,771929.221,63,15644925.87,2,551184.4588,2,18854.98709
560,7,2239240.071,6,1426283.433,8,382967.9438,8,1373031.377,6,818412.833,6,1032940.491,3,88193.00973
561,0,0,6,360433.0028,11,9288745.053,1,18088,3,58518.5144,11,4193760.443,2,15201.90259
562,15,1933571.878,31,4158044.325,22,4438233.845,12,912540.269,26,6120067.675,21,6684504.718,13,89195.97748
563,69,15690413.14,32,3061570.448,42,985399.6795,61,11028222.99,34,11766450.65,12,1005492.581,25,453754.7743
564,88,21873903.37,98,26533589.2,54,9085185.858,97,17371292.78,97,24039150.65,24,5381062.885,20,247287.1184
565,78,4398248.888,115,23173401.92,28,5447946.333,82,9030821.96,115,29436357.5,24,3510012.873,11,39397.67518
566,14,1919376.07,27,1622824.863,72,13386340.47,17,4308822.068,26,1747696.967,66,9474856.128,27,112290.4296
567,12,202623.1449,28,6747095.105,16,1906405.642,9,84301.47993,27,4222926.71,8,1286164.624,4,24230.24101
568,15,105773.4079,51,10168589.22,15,101151.3495,21,194228.7132,51,9045492.698,0,0,0,0
569,8,669122.3578,17,2742335.708,7,714252.2428,10,7051975.14,16,2696275.598,3,55565.79055,1,231.6517857
570,5,42891.5002,12,1729875.596,18,2746101.863,6,29424.52498,8,1971147.714,17,495875.7875,5,15125.93306
571,2,126905.7025,7,82618.45683,20,5491388.373,1,506026.5713,1,89636.33535,19,1093407.875,3,7942.596875
572,11,24988910.81,5,27728103.68,17,7485231.59,11,14301915.53,3,4199320.268,8,3959106.47,2,4366.40042
573,0,0,3,12294.73484,7,1207764.559,0,0,2,8299.465958,6,521255.1908,0,0
574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,1,3355.619768,5,13345.49142,11,7716101.963,0,0,1,3000,10,2308386.567,4,19923.73698
581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,1,4274.606555,1,101068.9929,0,0,0,0,1,105551.4909,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,88,20186365.03,22,2844259.198,62,2891751.283,88,22738486.44,8,1649942.501,27,5987125.538,62,436798.228
585,44,11488963.65,107,6732146.23,164,18512169.51,31,12436221.05,43,3525747.163,153,37526798.93,81,502372.0345
586,75,15668772.19,33,3696331.338,43,4320098.895,70,12378037.02,25,6169361.223,19,5149467.75,39,330611.0743
587,141,20082033.25,18,3300754.723,96,5567707.458,143,36326181.68,19,4327462.205,5,1946716.132,30,254396.4458
588,81,9841032.96,35,1880821.764,94,16284018.72,83,17350566.5,16,2196904.202,53,10127456.08,55,202019.608
589,56,12910681.48,4,114140.6888,42,2499898.034,57,18307016.36,2,903206.2873,12,2072092.826,35,247678.2632
590,2,313073.0518,32,2194687.792,37,7734089.36,2,481040.0965,34,1622114.812,38,4933697.27,8,42208.97145
591,0,0,12,2182361.76,13,2174137.535,0,0,12,1211059.631,13,1598060.731,6,25763.2085
592,20,1747401.268,23,7752369.635,17,904304.978,19,1375680.573,23,3946740.78,11,49720.23698,0,0
593,22,1416262.268,11,4068956.503,20,2402675.892,22,5393391.318,10,1038137.24,14,461016.2203,5,18985.6879
594,20,1578040.351,5,574248.0135,11,1331351.01,18,6510821.073,4,1046810.218,2,2082811.027,0,0
