id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
617,1,1155.771962,0,,1,897.35729,1,52322.93645,0,,0,,0,
618,7,34775.36197,0,,5,392.3914438,8,155884.4833,0,,0,,0,
619,2,8546.312335,0,,1,481.4399795,2,28962.23876,0,,0,,0,
620,0,,0,,0,,0,,0,,0,,0,
621,0,,0,,0,,0,,0,,0,,0,
622,0,,0,,0,,0,,0,,0,,0,
623,0,,0,,0,,0,,0,,0,,0,
624,0,,0,,0,,0,,0,,0,,0,
625,0,,0,,0,,0,,0,,0,,0,
626,0,,0,,0,,0,,0,,0,,0,
627,0,,0,,0,,0,,0,,0,,0,
628,0,,0,,0,,0,,0,,0,,0,
629,19,8116.525646,39,453428.2763,0,,18,9941.394258,38,61632.93346,5,288.8911514,0,
630,19,763.3423753,23,33487.9168,3,1446.783675,21,7541.841723,23,454647.4764,4,1518.582688,2,1261.463376
631,54,33843.89564,82,1328236.699,11,251.9337772,48,3517.252819,81,1628395.982,4,1912.616966,0,
632,7,23323.56142,43,12929.1177,79,9841.917537,20,18894.89748,37,11373.41522,79,1256444.257,32,122.9791774
633,50,899586.8316,26,8679.186757,54,36477.3758,58,71555.84686,6,4468.777757,20,386571.599,41,22254.84924
634,66,194767.5751,90,13514.47622,40,425993.4657,71,236298.4687,72,782588.8786,32,161134.7686,22,996.7296627
635,136,86887.24746,114,2148842.414,46,1384.572575,126,62321.91389,114,1613998.942,2,1391.845242,36,1768.932182
636,6,6423.19866,0,,4,1154.734127,6,4938.697765,0,,0,,4,98.52919946
637,96,8222.227288,37,97736.75528,63,9714.559326,97,694546.2919,36,128186.8222,6,64744.52966,37,12218.38598
638,25,3724.662583,23,4987.481946,57,394833.5761,22,195382.3182,15,2372.452978,41,526819.7314,17,5441.356447
639,11,64711.59427,30,776.7623559,65,51845.49892,8,66754.74888,13,2731.518858,62,68159.48656,19,3937.134819
640,23,86125.24286,0,,15,7395.975116,25,335116.1374,0,,0,,2,1267.619476
641,24,324.9593819,2,535.4166667,8,6956.458944,22,217354.7877,0,,1,856.7944691,12,6625.732162
642,10,226288.2492,3,635.5589368,0,,11,43579.96662,0,,0,,7,7399.377396
643,0,,0,,0,,0,,0,,0,,0,
644,0,,0,,0,,0,,0,,0,,0,
645,0,,0,,0,,0,,0,,0,,0,
646,0,,0,,0,,0,,0,,0,,0,
647,0,,0,,0,,0,,0,,0,,0,
648,0,,0,,0,,0,,0,,0,,0,
649,0,,0,,0,,0,,0,,0,,0,
650,0,,0,,0,,0,,0,,0,,0,
651,0,,0,,0,,0,,0,,0,,0,
652,0,,0,,0,,0,,0,,0,,0,
653,0,,0,,0,,0,,0,,0,,0,
654,0,,13,14194.27487,15,66789.96267,0,,11,5699.314778,15,6486.183895,0,
655,0,,32,1227.861139,42,6646.613899,0,,21,6257.572714,42,81572.17349,3,11.97851321
656,68,346351.3874,74,138466.6161,34,196273.6912,60,21578.73121,73,856841.5647,19,18115.66117,13,1158.388188
657,68,2621.242955,156,932734.655,180,223386.1375,50,15396.97833,139,671847.9374,183,1615565.284,69,17821.52959
658,137,82273.24422,139,1576692.341,85,73724.99165,130,682893.5127,133,1177127.727,82,6438.895679,58,18511.15285
659,0,,0,,0,,0,,0,,0,,0,
660,4,287.4835594,4,678.2863213,4,1815.222899,4,1996.639465,3,6138.291816,0,,2,375.9885995
661,7,95744.98634,6,1973.912529,5,11487.83996,7,5898.519599,6,13497.12652,1,1237.844983,6,332.9944393
662,69,887774.8987,5,1173.984156,50,193895.6663,71,182991.6477,4,1134.64657,15,171252.1138,46,21597.86566
663,39,477318.3624,12,2836.862151,10,4482.517484,39,311169.5347,0,,0,,18,1884.323673
664,51,942327.7187,5,418.6111384,0,,48,18261.99334,0,,0,,32,18232.13318
665,57,5469.214838,41,37112.7353,0,,55,1217.131872,26,52657.64264,13,6319.738593,22,11191.65179
666,18,183747.3772,5,121.2835714,12,5466.756415,18,22431.15454,0,,0,,11,3484.131766
667,0,,0,,0,,0,,0,,0,,0,
668,0,,0,,0,,0,,0,,0,,0,
669,0,,0,,0,,0,,0,,0,,0,
670,0,,0,,0,,0,,0,,0,,0,
671,0,,0,,0,,0,,0,,0,,0,
672,0,,0,,0,,0,,0,,0,,0,
673,0,,0,,0,,0,,0,,0,,0,
674,0,,0,,0,,0,,0,,0,,0,
675,0,,0,,0,,0,,0,,0,,0,
676,8,278.1758217,12,11196.28695,10,416.2588791,7,2774.978247,12,14619.49994,0,,0,
677,33,14963.93437,76,79874.5864,13,7344.836782,36,1536.878816,76,13712.22162,0,,0,
678,53,324746.7787,43,452413.6511,15,4518.18932,48,267496.9593,42,623397.5818,27,12344.15111,12,7642.958814
679,114,1486675.864,61,432369.4982,123,646447.1642,111,1137924.314,53,316874.8684,51,86944.69635,80,36789.93473
680,35,13689.96687,136,3321.78855,168,226483.1382,12,4277.65433,96,328535.8659,165,265797.2132,77,24239.34295
681,40,448.9826481,61,332766.1968,97,858651.8627,41,59546.31297,52,2381.369323,82,8672.774775,54,19218.77987
682,34,11747.93218,49,611987.6648,1,142.3959869,27,1258.477827,49,624689.4885,13,4787.893175,0,
683,16,6213.793272,27,23351.9913,0,,13,4951.429371,28,27864.65198,9,2584.368789,0,
684,11,19397.18669,0,,1,31.3835933,11,31533.84361,0,,0,,6,479.3265775
685,7,4435.511352,0,,4,1596.756889,7,67822.63469,0,,0,,1,225.7857143
686,18,175557.4263,23,8265.745747,28,268964.2632,18,39853.85647,7,2598.992228,28,265798.4374,23,872.5625192
687,23,2824.225311,53,413746.2333,46,398473.4485,17,1341.471974,42,5195.115513,43,47664.12639,11,4546.885925
688,99,621821.9958,93,86582.82587,46,341.6936687,91,688333.5266,76,15883.96537,20,21315.56368,28,11377.63799
689,49,423289.5315,21,553.1446376,33,17512.85483,48,499229.2228,0,,1,5495.728843,29,8933.232638
690,0,,0,,0,,0,,0,,0,,0,
691,0,,0,,0,,0,,0,,0,,0,
692,0,,0,,0,,0,,0,,0,,0,
693,0,,0,,0,,0,,0,,0,,0,
694,0,,0,,0,,0,,0,,0,,0,
695,0,,0,,0,,0,,0,,0,,0,
696,0,,0,,0,,0,,0,,0,,0,
697,0,,0,,0,,0,,0,,0,,0,
698,0,,0,,0,,0,,0,,0,,0,
699,3,1384.829739,6,56986.95954,6,1492.249349,6,1416.683898,6,74584.68495,0,,0,
700,128,758872.1147,84,869741.1652,76,2845.584344,121,1133293.529,81,133413.9188,1,389.828863,39,9934.617179
701,164,121487.2315,146,133426.9513,115,22627.63954,164,1835542.761,119,177523.6826,37,178428.3272,66,32449.99422
702,56,622615.5913,74,32459.83282,98,8622.56326,43,519783.1568,50,371293.4211,88,987722.8398,41,19516.53844
703,45,97293.82875,77,679669.5516,70,673732.869,35,151934.8373,67,159298.5822,53,862848.3361,23,7277.844864
704,57,611224.4282,28,161989.9924,53,142133.5293,56,91722.67344,35,26928.22575,16,182635.9641,36,1678.737628
