id,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12
Mermeladas,4050989.412,7515974.583,7116039.146,6868483.1,7547646.824,11302269.44,6852417.206,7213064.045,7562902.306,19641803.52,10113062.28,8791493.457,10002323.61,10518825.51,9162538.13,17426289.28,9429778.555,11600869.07,13229097.71,12446709.58,11501260.68
Mini Pastel,1797216,2670216,3006224,3084082.667,2679528,2032344,1892664,1890336,1771608,4013472,2039328,1785576,1967160,1894992,2078128,1883352,1331616,1732032,1750656,1337048,1764624
Otros Chocolates,3233831,8057418,11660556,9346990,9561813,7530634,9067137,8476058,9353722,21073535.95,11492021.95,10006063,11567396,14038122,13060891.45,11855228.3,7803197.773,13291943.55,13574110.81,12919070.79,13516729.26
Otros La Constancia,5010794.522,10411644.4,10180482.39,10419731.39,11012829.76,17518773.16,10707638.78,11389229.9,12282786.54,30807975.23,15335111.58,14488076.12,14640615.56,15301638.62,14501765.41,21630620.17,10502365.8,15765925.6,16598638.36,15391810.09,21690120.33
Pastel Cubierto,25396816.63,35074157.6,46086748,34836928,39179617,40320604,35669835,33831541,35661980,81773715.68,42742462.68,38611345.49,40428688,41964345.88,41942556.24,33732735.82,28462009.61,40638044.85,45162508.36,45731792.77,49927900.02
Pastel Rollo,,,,,,,,,,,,,,,,,,,6559122.807,21800994.73,26401204.63
Polvos,721456.5,1737049.5,1815514,1871204,1760092,1667892,1926302,1761204,1662412,3959606,1962544,1724598,2937699.5,5241411,3798811,2401653.5,2199398.5,2839928,2737066.5,2484561,2544457
Ponke,,,,,7641816,6220032,3771768,4020744,4387656,9081072,4599504,3957408,4145232,10133214,11002719,4542720,5597592,19551168,31997784,19891872,13835640
Postres,3441240,4577430,6495280,5488560,4905340,5897540,6846180,12890130,11582120,23752812,13149070,12655390,14775310,20313480,13677840,12389190,12546490,15325860,33490380,20141660,19402350
Postres de Leche,9258160.059,31393922,31164228,21604311,21804334,26364696,20366820,60355360,27180513,50445692,25165985,26845937,35535700.51,29383848.18,30164617,12237212.27,20938007.53,26658649.51,36434466.8,65882558.85,62131614.87
Pt. Sardina Tomate,17108658,35315136,35728263,30799629,39010167,37010979,30600288,47587608,67744161,91263510,32481027,11330658,,65063169,33200388,33128163,42037839,55919484,68934429,26674137,24169374
Refrescos,,,,,,,,,,10584000,1431000,551250,2250,,,,,,,,
Salsa de Tomate,13537908.12,28391579.31,29090032.52,27177298.19,26757381.23,34020670.94,23895174.15,25100402.25,27165045.19,62482259.22,35506633.7,36588004.35,39160662.66,29681955.97,26799252.68,30152370.27,16286376.06,33030631.39,49427655.4,30828466.65,33538869.92
Salsas Emulsionadas,4750019.187,8420669.555,8343354.764,8571652.12,9313477.019,9853580.97,8387740.886,9807727.151,10746684.41,24312943.21,12134825.9,11579445.77,12987252.24,13136970.92,12565202.96,12976930.1,9339482.791,15319821.42,17098568.37,14736663.66,16868250.97
Salsas Varias,8863852.879,18413584.96,19007538.72,18020777.5,19446950.97,20732248.84,18827255.79,20676958.36,21080384.58,50089287.78,26877494.48,26215312.22,26700083.4,30221241.27,25372912.49,29057642.84,20295489.27,33640748.05,41131291.25,32633280.87,33892123.8
Sardina,6872409,14846473,13158522,11064077,16075348,18867137,19466860,19115437,22217751,29495939,13745900,538290,,34223870,19800059,11815709,12095176,28732782,10501589,4949637,24309513
Tableta de Chocolate,6124853.894,14231042.26,13752879.83,22437230.28,12474660.51,12110881.36,16423317.93,16371117.86,12874077.23,106124299.6,47546118.53,34253126.32,58708958.1,39250865.22,27839585.49,16809281.84,8118628.596,19654743.85,16384488.55,15001434.11,15401343.73
Temporada,11359.375,87821.6,31297.35,85604.25,2122658.25,155131440.3,113412,22173.5,,44528.75,28171.25,39076.25,48163.75,9087.5,70882.5,128871909.5,,,1050696.75,8542.25,
AVERAGE,22143440.28,40357802.14,42405307.69,43602742.56,44861836.56,39205290.31,35114771.52,38256330.74,41205329.31,91113249.34,46816774.35,47093951.93,49117960.72,55941829.8,51841365.45,42991566.21,36354620.06,54656188.82,61629307.32,51376009.52,58052203.21
