id,mclients,mincome,morders,mclient1,mclient2,mclient3,mPtresclientes,tclients,tincome,torders,tclient1,tclient2,tclient3
560,7,39109.72848,0.7625,69630,524234,564007,0.94276356,6,37309.28242,0.85,Foo,Bar,Baz
561,0,0,0,,,,0,5,14681.77313,0.1,Foo,Bar,Baz
562,11,64216.84059,0.5625,76866,77063,98342,0.777600503,26,124737.5558,1.1,Foo,Bar,Baz
563,65,670811.0162,9.1625,72946,73051,78794,0.239581899,29,119112.4957,1.2125,Foo,Bar,Baz
564,90,835799.1769,7.9125,73122,73343,78694,0.60049919,85,806959.9665,15.2875,Foo,Bar,Baz
565,88,121152.278,4.5625,76582,76596,76928,0.274408153,106,769976.4921,18.1875,Foo,Bar,Baz
566,17,94915.47563,2.325,82238,84904,562277,0.5970954,27,76246.27392,1.875,Foo,Bar,Baz
567,16,14508.01326,0.3375,72229,85336,88220,0.692839499,29,349337.832,4.4875,Foo,Bar,Baz
568,20,10297.90237,0.325,72256,88417,88562,0.602538655,51,438941.5704,9.3,Foo,Bar,Baz
569,6,9563.819265,0.2625,88124,538754,606012,0.875006911,13,93886.76557,2.0625,Foo,Bar,Baz
570,5,2164.996402,0.1,88025,88123,97728,0.686321249,13,76869.66959,1.5375,Foo,Bar,Baz
571,1,4445.424031,0.0375,98740,,,1,14,5530.402209,0.1875,Foo,Bar,Baz
572,6,21780.6409,0.2375,80639,81935,98269,0.702244153,4,4232.336174,0.05,Foo,Bar,Baz
573,0,0,0,,,,0,3,1384.636091,0.0625,Foo,Bar,Baz
574,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
575,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
576,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
577,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
578,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
579,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
580,1,167.7809884,0.0125,523216,,,1,6,2322.356932,0.075,Foo,Bar,Baz
581,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
582,1,213.7303278,0.0125,570453,,,1,1,5422.197371,0.1875,Foo,Bar,Baz
583,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
584,82,828056.5681,16.975,76273,77135,77171,0.178472008,16,37736.06548,0.7625,Foo,Bar,Baz
585,37,428171.004,5.625,69839,70066,72312,0.46891907,103,248264.447,4.4375,Foo,Bar,Baz
586,69,645439.7788,10.4375,78502,524287,576393,0.159105164,33,120655.2465,1.3,Foo,Bar,Baz
587,137,835524.2895,13.225,79548,79650,573291,0.223544853,16,114115.1691,2.8,Foo,Bar,Baz
588,79,453505.7551,14.175,76159,76258,82588,0.125283977,36,74683.11201,1.3625,Foo,Bar,Baz
589,55,519565.9903,11.2625,82123,82364,82472,0.260044859,2,1302.970048,0.05,Foo,Bar,Baz
590,1,10907.44409,0.1625,82081,,,1,32,81627.11599,1.9,Foo,Bar,Baz
591,0,0,0,,,,0,12,89521.29322,1.075,Foo,Bar,Baz
592,20,80519.20527,1.3375,70035,70158,564375,0.328725342,22,313405.8139,3.9375,Foo,Bar,Baz
593,19,64932.44255,0.9,70500,70514,81964,0.345224517,8,71006.93092,1.025,Foo,Bar,Baz
594,17,52519.39778,0.7125,82002,98422,521607,0.425921401,1,3608.517284,0.1375,Foo,Bar,Baz
595,4,22168.81922,0.1875,98270,98271,569673,0.92857869,5,2789.687851,0.0875,Foo,Bar,Baz
596,41,167192.5477,2.1,52180,500148,581446,0.419999007,6,2949.413527,0.075,Foo,Bar,Baz
597,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
598,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
599,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
600,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
601,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
602,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
603,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
604,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
605,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
606,95,303864.1933,7.0375,66950,67444,89512,0.306189082,98,900919.2415,20,Foo,Bar,Baz
607,148,1648594.635,28.775,67052,89799,564009,0.13531951,16,152798.8939,2.8375,Foo,Bar,Baz
608,107,643298.9962,13.175,70040,70056,90013,0.249584522,98,875457.9792,13.425,Foo,Bar,Baz
609,67,847441.5978,11.4875,71285,81034,538738,0.261145821,45,26056.55795,1.0125,Foo,Bar,Baz
610,36,336714.3203,5.1125,88960,89022,97947,0.323353264,43,40937.96905,0.75,Foo,Bar,Baz
611,22,57289.86813,0.8875,79002,79080,538823,0.411759111,83,37358.3987,1.4625,Foo,Bar,Baz
612,0,0,0,,,,0,4,1874.762379,0.0625,Foo,Bar,Baz
613,3,31155.7418,0.575,86829,86894,588082,1,0,0,0,Foo,Bar,Baz
614,19,82343.96998,2,70473,86920,500180,0.408103746,9,86291.22911,1.425,Foo,Bar,Baz
615,49,505400.7615,7.375,83252,83370,564212,0.223184487,21,54230.26443,0.6,Foo,Bar,Baz
616,19,12038.08727,0.3375,81887,87834,98429,0.573643135,14,6800.940764,0.2125,Foo,Bar,Baz
617,1,9247.093874,0.05,82020,,,1,0,0,0,Foo,Bar,Baz
618,7,28844.29683,0.2875,77513,78048,98468,0.76174727,0,0,0,Foo,Bar,Baz
619,2,8022.939948,0.0875,77525,576130,,1,0,0,0,Foo,Bar,Baz
620,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
621,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
622,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
623,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
624,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
625,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
626,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
627,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
628,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
629,19,8522.351928,0.2875,89082,89464,500228,0.406988429,39,387313.5367,7.5375,Foo,Bar,Baz
630,19,47724.90336,1.025,67198,67532,67551,0.836697457,23,301394.7225,4.55,Foo,Bar,Baz
631,54,35536.09042,0.9125,70572,70673,70689,0.284770204,82,1154127.424,14.475,Foo,Bar,Baz
