Cuadrante,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud
64,-74.0592085,4.489141,-74.0497885,4.489141,-74.0497885,4.498391,-74.0592085,4.498391
65,-74.0497885,4.489141,-74.0403685,4.489141,-74.0403685,4.498391,-74.0497885,4.498391
66,-74.0403685,4.489141,-74.0309485,4.489141,-74.0309485,4.498391,-74.0403685,4.498391
67,-74.0309485,4.489141,-74.0215285,4.489141,-74.0215285,4.498391,-74.0309485,4.498391
68,-74.0215285,4.489141,-74.0121085,4.489141,-74.0121085,4.498391,-74.0215285,4.498391
69,-74.0121085,4.489141,-74.0026885,4.489141,-74.0026885,4.498391,-74.0121085,4.498391
70,-74.2193485,4.498391,-74.2099285,4.498391,-74.2099285,4.507641,-74.2193485,4.507641
71,-74.2099285,4.498391,-74.2005085,4.498391,-74.2005085,4.507641,-74.2099285,4.507641
72,-74.2005085,4.498391,-74.1910885,4.498391,-74.1910885,4.507641,-74.2005085,4.507641
73,-74.1910885,4.498391,-74.1816685,4.498391,-74.1816685,4.507641,-74.1910885,4.507641
74,-74.1816685,4.498391,-74.1722485,4.498391,-74.1722485,4.507641,-74.1816685,4.507641
75,-74.1722485,4.498391,-74.1628285,4.498391,-74.1628285,4.507641,-74.1722485,4.507641
76,-74.1628285,4.498391,-74.1534085,4.498391,-74.1534085,4.507641,-74.1628285,4.507641
77,-74.1534085,4.498391,-74.1439885,4.498391,-74.1439885,4.507641,-74.1534085,4.507641
78,-74.1439885,4.498391,-74.1345685,4.498391,-74.1345685,4.507641,-74.1439885,4.507641
79,-74.1345685,4.498391,-74.1251485,4.498391,-74.1251485,4.507641,-74.1345685,4.507641
80,-74.1251485,4.498391,-74.1157285,4.498391,-74.1157285,4.507641,-74.1251485,4.507641
81,-74.1157285,4.498391,-74.1063085,4.498391,-74.1063085,4.507641,-74.1157285,4.507641
82,-74.1063085,4.498391,-74.0968885,4.498391,-74.0968885,4.507641,-74.1063085,4.507641
83,-74.0968885,4.498391,-74.0874685,4.498391,-74.0874685,4.507641,-74.0968885,4.507641
84,-74.0874685,4.498391,-74.0780485,4.498391,-74.0780485,4.507641,-74.0874685,4.507641
85,-74.0780485,4.498391,-74.0686285,4.498391,-74.0686285,4.507641,-74.0780485,4.507641
86,-74.0686285,4.498391,-74.0592085,4.498391,-74.0592085,4.507641,-74.0686285,4.507641
87,-74.0592085,4.498391,-74.0497885,4.498391,-74.0497885,4.507641,-74.0592085,4.507641
88,-74.0497885,4.498391,-74.0403685,4.498391,-74.0403685,4.507641,-74.0497885,4.507641
89,-74.0403685,4.498391,-74.0309485,4.498391,-74.0309485,4.507641,-74.0403685,4.507641
90,-74.0309485,4.498391,-74.0215285,4.498391,-74.0215285,4.507641,-74.0309485,4.507641
91,-74.0215285,4.498391,-74.0121085,4.498391,-74.0121085,4.507641,-74.0215285,4.507641
92,-74.0121085,4.498391,-74.0026885,4.498391,-74.0026885,4.507641,-74.0121085,4.507641
93,-74.2193485,4.507641,-74.2099285,4.507641,-74.2099285,4.516891,-74.2193485,4.516891
94,-74.2099285,4.507641,-74.2005085,4.507641,-74.2005085,4.516891,-74.2099285,4.516891
